OCCURRED_ON_DATE,0_2,0_3,0_4,0_6,0_7,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_12,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_6,6_7,6_8,6_9,7_9,8_7
2015-07-16,1.0,,,1.0,,,2.0,2.0,3.0,1.0,,1.0,5.0,1.0,1.0,4.0,3.0,4.0,5.0,4.0,2.0,,1.0,10.0,12.0,14.0,21.0,10.0,,,,4.0,27.0,16.0,16.0,25.0,3.0,2.0,2.0,2.0,1.0,5.0,2.0,8.0,,,,,,,,
2015-07-17,,2.0,,2.0,2.0,,2.0,3.0,1.0,,,2.0,8.0,,1.0,6.0,2.0,,8.0,3.0,2.0,,1.0,5.0,7.0,10.0,17.0,15.0,,,,12.0,39.0,11.0,23.0,21.0,8.0,1.0,1.0,,,10.0,7.0,13.0,,,,,1.0,1.0,,
2015-07-18,,,,,,,,1.0,1.0,,,3.0,5.0,,1.0,6.0,2.0,4.0,6.0,6.0,,,2.0,10.0,12.0,12.0,20.0,7.0,,,,4.0,22.0,14.0,16.0,20.0,6.0,3.0,2.0,,1.0,6.0,4.0,9.0,1.0,,,,,,,
2015-07-19,2.0,,1.0,1.0,4.0,,2.0,1.0,1.0,1.0,,2.0,5.0,,1.0,1.0,4.0,8.0,4.0,1.0,7.0,,3.0,7.0,10.0,11.0,16.0,4.0,,,,11.0,20.0,15.0,18.0,17.0,8.0,,1.0,,2.0,11.0,4.0,3.0,2.0,,3.0,,,,2.0,
2015-07-20,2.0,,,2.0,1.0,,2.0,1.0,3.0,,,1.0,9.0,,1.0,5.0,5.0,8.0,3.0,3.0,2.0,,1.0,10.0,12.0,17.0,17.0,6.0,,,,2.0,30.0,13.0,23.0,19.0,6.0,,,1.0,1.0,7.0,2.0,12.0,2.0,,,,4.0,,1.0,
2015-07-21,5.0,2.0,,,3.0,,2.0,1.0,3.0,1.0,,1.0,4.0,,3.0,7.0,5.0,,2.0,5.0,4.0,,5.0,9.0,,11.0,21.0,4.0,,,,9.0,16.0,16.0,19.0,32.0,3.0,3.0,3.0,2.0,,6.0,3.0,13.0,,,1.0,,,1.0,,
2015-07-22,,2.0,3.0,,,,3.0,2.0,1.0,,,4.0,6.0,,,5.0,1.0,4.0,3.0,1.0,,,3.0,20.0,17.0,14.0,22.0,4.0,,,,10.0,13.0,24.0,17.0,24.0,2.0,,1.0,,1.0,10.0,2.0,7.0,,,,,,2.0,,
2015-07-23,1.0,1.0,3.0,,3.0,,1.0,1.0,3.0,,1.0,2.0,6.0,,1.0,2.0,5.0,3.0,2.0,4.0,,,2.0,15.0,11.0,23.0,24.0,12.0,,,,7.0,25.0,14.0,27.0,23.0,6.0,,2.0,2.0,1.0,10.0,,6.0,,,1.0,,,1.0,,
2015-07-24,,,2.0,1.0,5.0,,1.0,4.0,,,,,8.0,2.0,1.0,12.0,9.0,1.0,7.0,5.0,1.0,,1.0,8.0,14.0,15.0,16.0,11.0,,,,8.0,33.0,20.0,19.0,31.0,4.0,5.0,2.0,,,6.0,5.0,6.0,1.0,,,,,1.0,,
2015-07-25,1.0,4.0,1.0,,1.0,,1.0,1.0,2.0,1.0,,2.0,9.0,,2.0,7.0,1.0,1.0,3.0,2.0,1.0,,1.0,9.0,14.0,17.0,20.0,12.0,,,,7.0,15.0,25.0,17.0,33.0,8.0,1.0,,,,8.0,1.0,7.0,,,,,,4.0,,
2015-07-26,2.0,,,,1.0,,2.0,,,,,1.0,4.0,,1.0,1.0,2.0,2.0,5.0,1.0,1.0,,,3.0,11.0,10.0,8.0,7.0,,,,12.0,22.0,13.0,7.0,19.0,7.0,2.0,2.0,1.0,,2.0,1.0,4.0,3.0,,,,,2.0,3.0,
2015-07-27,,4.0,2.0,1.0,1.0,,1.0,,3.0,,,5.0,7.0,,,3.0,10.0,2.0,5.0,4.0,,,,6.0,5.0,12.0,18.0,4.0,,1.0,,8.0,24.0,27.0,21.0,34.0,7.0,,1.0,1.0,,7.0,3.0,5.0,2.0,,,,7.0,,,
2015-07-28,,,1.0,,2.0,,,2.0,3.0,3.0,,1.0,11.0,,,2.0,4.0,4.0,5.0,2.0,3.0,,,9.0,13.0,18.0,19.0,5.0,,,,2.0,17.0,21.0,21.0,17.0,12.0,1.0,,1.0,,4.0,3.0,6.0,1.0,,,,2.0,4.0,2.0,
2015-07-29,1.0,,,1.0,4.0,,,3.0,4.0,,,2.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,7.0,,5.0,8.0,12.0,22.0,15.0,7.0,,,,6.0,19.0,19.0,24.0,23.0,7.0,,,2.0,1.0,6.0,3.0,9.0,,,,,1.0,5.0,1.0,
2015-07-30,,3.0,,1.0,,,1.0,1.0,6.0,2.0,,2.0,2.0,,3.0,4.0,3.0,4.0,6.0,1.0,3.0,,2.0,13.0,12.0,12.0,22.0,7.0,,,,6.0,19.0,17.0,15.0,22.0,12.0,,,,4.0,7.0,2.0,9.0,1.0,,,,,3.0,,
2015-07-31,1.0,1.0,,,8.0,,2.0,,4.0,1.0,,3.0,12.0,,1.0,1.0,4.0,2.0,4.0,2.0,4.0,,2.0,5.0,14.0,18.0,16.0,9.0,,,,8.0,19.0,20.0,18.0,22.0,8.0,2.0,3.0,1.0,1.0,9.0,4.0,6.0,1.0,,,,2.0,1.0,1.0,
